Year,Median Personal Income,Median Home Price,Home Price/Income Ratio,Monthly Gross Income,Average Mortgage Rate,30YR Mortgage Payment,Mortgage/Income Ratio
1974,5335.0,36050.0,6.757263355201499,444.5833333333333,9.218333333333334,295.747593242835,0.665224202233181
1975,5664.0,39275.0,6.934145480225989,472.0,9.024166666666666,316.69871245482733,0.6709718484212444
1976,6002.0,44225.0,7.368377207597468,500.1666666666667,8.855,351.24004830802096,0.7022460146111715
1977,6429.0,48900.0,7.6061595893607095,535.75,8.848333333333334,388.1358911146595,0.7244720319452347
1978,6813.0,55850.0,8.197563481579333,567.75,9.68,476.96926249147697,0.8401043813147987
1979,7254.0,62750.0,8.650399779432037,604.5,11.249166666666667,609.4268110433914,1.0081502250511023
1980,7944.0,64750.0,8.150805639476335,662.0,13.841666666666667,759.0972025975233,1.1466725114766212
1981,8532.0,68950.0,8.081340834505392,711.0,16.716666666666665,967.157513248488,1.3602777964113757
1982,9143.0,69225.0,7.571366072405119,761.9166666666666,15.960833333333333,928.7220496807523,1.218928644445918
1983,9720.0,75375.0,7.75462962962963,810.0,13.223333333333334,846.9756826275109,1.0456489908981617
1984,10420.0,79950.0,7.672744721689059,868.3333333333334,13.86,938.4527013124691,1.0807516713771237
1985,11010.0,84275.0,7.654405086285196,917.5,12.351666666666667,889.7424852195908,0.9697465778960117
1986,11550.0,92025.0,7.967532467532467,962.5,10.1225,815.9280114054257,0.8477174144471955
1987,12100.0,104700.0,8.652892561983471,1008.3333333333334,10.195833333333333,934.0048154358509,0.9262857673743976
1988,12940.0,112225.0,8.672720247295208,1078.3333333333333,10.353333333333333,1014.2807031898218,0.9406003429890156
1989,13860.0,120425.0,8.68867243867244,1155.0,10.3075,1084.2809318673826,0.9387713695821495
1990,14380.0,122300.0,8.504867872044507,1198.3333333333333,10.150833333333333,1086.9265473656435,0.9070318893176441
1991,14690.0,119975.0,8.16712049012934,1224.1666666666667,9.216666666666667,984.1081416066401,0.8039004560435453
1992,14900.0,121375.0,8.145973154362416,1241.6666666666667,8.424166666666666,926.7534478079065,0.7463786156842199
1993,15430.0,126500.0,8.198314970836034,1285.8333333333333,7.302499999999999,867.4621534122199,0.6746303202168917
1994,15940.0,130425.0,8.182245922208281,1328.3333333333333,8.400833333333333,993.70354976385,0.7480829734734128
1995,16780.0,133475.0,7.954410011918951,1398.3333333333333,7.923333333333333,972.2680082767139,0.6953048926889491
1996,17590.0,140250.0,7.973280272882319,1465.8333333333333,7.809166666666666,1010.5085176938919,0.689374770456322
1997,18760.0,145000.0,7.729211087420043,1563.3333333333333,7.5633333333333335,1020.1567471025536,0.652552290257497
1998,19950.0,151925.0,7.6152882205513786,1662.5,6.953333333333333,1006.0037992521338,0.6051150672193286
1999,20580.0,160125.0,7.780612244897959,1715.0,7.452500000000001,1114.4136688384094,0.6498038885355157
2000,21520.0,167550.0,7.785780669144981,1793.3333333333333,8.025,1232.3438562303402,0.6871805889760262
2001,21930.0,173100.0,7.893296853625171,1827.5,7.008333333333333,1152.6075601263992,0.6307018112866754
2002,22120.0,186025.0,8.409810126582279,1843.3333333333333,6.505,1176.416304719977,0.6382005269728628
2003,22670.0,192125.0,8.474856638729598,1889.1666666666667,5.821666666666666,1129.951515312136,0.5981216666848537
2004,23210.0,218150.0,9.398965962947006,1934.1666666666667,5.835833333333333,1284.984032129572,0.6643605508640613
2005,24330.0,236550.0,9.72256473489519,2027.5,5.870833333333334,1398.6527141978731,0.6898410427609731
2006,25800.0,243750.0,9.44767441860465,2150.0,6.408333333333334,1526.000894474109,0.7097678578949344
2007,26630.0,244950.0,9.19827262485918,2219.1666666666665,6.336666666666667,1522.0332743439533,0.685858028243614
2008,26510.0,229550.0,8.658996605054696,2209.1666666666665,6.072500000000001,1386.9861307765764,0.6278322734560134
2009,26130.0,215650.0,8.252965939533103,2177.5,5.0424999999999995,1163.2636319670198,0.5342198080215935
2010,26180.0,222700.0,8.506493506493506,2181.6666666666665,4.6883333333333335,1153.4452802339254,0.5286991353249467
2011,26590.0,224900.0,8.45806694245957,2215.8333333333335,4.4425,1131.8644126022657,0.5108075573985403
2012,26990.0,244400.0,9.05520563171545,2249.1666666666665,3.6475000000000004,1117.6867348321748,0.49693370944742865
2013,27680.0,266225.0,9.617955202312139,2306.6666666666665,4.024166666666667,1274.710816199655,0.5526202960403129
2014,28760.0,285775.0,9.9365438108484,2396.6666666666665,4.16,1390.825150634617,0.5803164745346108
2015,30240.0,294150.0,9.72718253968254,2520.0,3.8433333333333333,1377.8797524969248,0.5467776795622717
2016,31100.0,305125.0,9.811093247588424,2591.6666666666665,3.670833333333333,1399.4096456693958,0.539965136592693
2017,31960.0,322425.0,10.088391739674593,2663.3333333333335,3.9791666666666665,1535.436242309894,0.5765092274004607
2018,33710.0,325275.0,9.649213883120735,2809.1666666666665,4.556666666666667,1659.090742711316,0.5905988998082407
2019,35980.0,320250.0,8.900778210116732,2998.3333333333335,3.9133333333333336,1512.964744556576,0.5046019159165901
2020,35860.0,336950.0,9.396263245956497,2988.3333333333335,3.080833333333333,1435.3263707218957,0.48030999577977546
2021,37520.0,396800.0,10.575692963752665,3126.6666666666665,2.9875000000000003,1670.250944750027,0.5341953981076846
2022,40480.0,457475.0,11.301259881422926,3373.3333333333335,5.47,2588.8884875113604,0.7674570615152254
